날짜,경량A (Light Scrap A) 경인,경량A (Light Scrap A) 경인증감,경량A (Light Scrap A) 영남,경량A (Light Scrap A) 영남증감,경량A (Light Scrap A) 평균,경량A (Light Scrap A) 평균증감
2011-07-22,474,0,478,0,476,0
2011-07-15,474,15,478,15,476,15
2011-07-08,459,3,463,3,461,3
2011-07-01,456,18,460,18,458,18
2011-06-24,438,3,442,3,440,3
2011-06-17,435,0,439,0,437,0
2011-06-10,435,-9,439,0,437,143
2011-06-03,444,0,439,0,294,0
2011-05-27,444,-4,439,-9,294,-5
2011-05-20,448,0,448,-4,299,-1
2011-05-13,448,-5,452,-11,300,-5
2011-05-06,453,-7,463,5,305,-1
2011-04-29,460,-7,458,-10,306,-6
2011-04-22,467,-16,468,-5,312,-7
2011-04-15,483,-10,473,-11,319,-7
2011-04-08,493,0,484,0,326,0
2011-04-01,493,-1,484,0,326,0
2011-03-25,494,-5,484,-4,326,-3
2011-03-18,499,-3,488,0,329,-1
2011-03-11,502,0,488,0,330,0
2011-03-04,502,0,488,0,330,0
2011-02-25,502,11,488,8,330,6
2011-02-18,491,7,480,12,324,7
2011-02-11,484,15,468,13,317,9
2011-01-28,469,13,455,0,308,4
2011-01-21,456,18,455,25,304,15
2011-01-14,438,20,430,10,289,10
2011-01-07,418,26,420,15,279,13
2010-12-31,392,0,405,10,266,4
2010-12-24,392,10,395,0,262,3
2010-12-17,382,4,395,17,259,7
2010-12-10,378,11,378,13,252,8
2010-12-03,367,10,365,9,244,6
2010-11-19,357,9,356,3,238,4
2010-11-12,348,-4,353,-1,234,-1
2010-11-05,352,-3,354,0,235,-1
2010-10-29,355,-10,354,-4,236,-5
2010-10-22,365,-3,358,-4,241,-3
2010-10-15,368,-10,362,-13,244,-7
2010-10-08,378,-6,375,-3,251,-3
2010-10-01,384,6,378,-4,254,-126
2010-09-24,378,0,382,-3,380,-2
2010-09-17,378,0,385,3,382,2
2010-09-10,378,0,382,0,380,0
2010-09-03,378,-5,382,-5,380,-5
2010-08-27,383,8,387,8,385,8
2010-08-20,375,29,379,29,377,29
2010-08-13,346,7,350,7,348,7
2010-08-06,339,3,343,3,341,3
2010-07-30,336,0,340,0,338,0
2010-07-23,336,-5,340,-5,338,-5
2010-07-16,341,-3,345,-3,343,-3
2010-07-09,344,-6,348,-6,346,-6
2010-07-02,350,-6,354,-6,352,-6
2010-06-25,356,-18,360,-18,358,-18
2010-06-18,374,-9,378,-9,376,-9
2010-06-11,383,-2,387,-2,385,-2
2010-06-04,385,-5,389,-5,387,-5
2010-05-28,390,-17,394,-17,392,-17
2010-05-14,407,-3,411,-3,409,-3
2010-05-07,410,-6,414,-6,412,-6
2010-04-30,416,1,420,1,418,1
2010-04-23,415,-8,419,-8,417,-8
2010-04-16,423,22,427,22,425,22
2010-04-09,401,3,405,3,403,3
2010-04-02,398,19,402,19,400,19
2010-03-26,379,0,383,0,381,0
2010-03-19,379,46,383,46,381,46
2010-03-12,333,1,337,1,335,1
2010-03-05,332,-4,336,-4,334,-4
2010-02-26,336,-7,340,-7,338,-7
2010-02-19,343,-2,347,-2,345,-2
2010-02-12,345,-13,349,-13,347,-13
2010-02-05,358,-1,362,-1,360,-1
2010-01-29,359,-3,363,-3,361,-3
2010-01-22,362,7,366,7,364,7
2010-01-15,355,6,359,6,357,6
2010-01-08,349,9,353,13,351,11
2010-01-01,340,20,340,10,340,15
2009-12-25,320,15,330,14,325,14
2009-12-18,305,5,316,10,311,8
2009-12-11,300,0,306,0,303,0
2009-12-04,300,-5,306,-4,303,-5
2009-11-27,305,25,310,15,308,20
2009-11-20,280,0,295,0,288,0
2009-11-13,280,10,295,5,288,8
2009-11-06,270,-10,290,0,280,-5
2009-10-30,280,-5,290,0,285,-3
2009-10-23,285,-5,290,-25,288,-15
2009-10-16,290,-10,315,-15,303,-12
2009-10-09,300,-15,330,-15,315,-15
2009-10-02,315,-5,345,-5,330,-5
2009-09-25,320,0,350,0,335,0
2009-09-18,320,-20,350,-10,335,-15
2009-09-11,340,0,360,0,350,0
2009-09-04,340,0,360,-10,350,-5
2009-08-28,340,-10,370,0,355,-5
2009-08-21,350,30,370,40,360,35
2009-08-14,320,30,330,15,325,22
2009-08-07,290,-15,315,-3,303,-9
2009-07-31,305,15,318,18,312,17
2009-07-24,290,15,300,20,295,17
2009-07-17,275,28,280,8,278,18
2009-07-10,247,12,272,17,260,15
2009-07-03,235,-10,255,-10,245,-10
2009-06-26,245,-10,265,-10,255,-10
2009-06-19,255,-5,275,-5,265,-5
2009-06-12,260,0,280,0,270,0
2009-06-05,260,0,280,0,270,0
2009-05-29,260,-15,280,-5,270,-10
2009-05-22,275,0,285,0,280,0
2009-05-15,275,-10,285,-15,280,-13
2009-05-08,285,-5,300,0,293,-2
2009-05-01,290,-10,300,-10,295,-10
2009-04-24,300,30,310,20,305,25
2009-04-17,270,5,290,7,280,6
2009-04-10,265,15,283,8,274,11
2009-04-03,250,5,275,5,263,5
2009-03-27,245,0,270,0,258,0
2009-03-20,245,-20,270,0,258,-10
2009-03-13,265,0,270,0,268,0
2009-03-06,265,-10,270,-8,268,-9
2009-02-27,275,-15,278,-7,277,-11
2009-02-20,290,-18,285,-18,288,-18
2009-02-13,308,20,303,-12,306,5
2009-02-06,288,3,315,23,301,12
2009-01-30,285,5,292,12,289,9
2009-01-23,280,43,280,32,280,37
2009-01-16,237,9,248,35,243,22
2009-01-09,228,25,213,10,221,18
2009-01-02,203,3,203,3,203,3
2008-12-26,200,20,200,10,200,15
2008-12-19,180,32,190,40,185,36
2008-12-12,148,38,150,10,149,24
2008-12-05,110,10,140,25,125,17
2008-11-28,100,0,115,2,108,2
2008-11-21,100,-10,113,-2,106,-7
2008-11-14,110,0,115,0,113,0
2008-11-07,110,-40,115,-3,113,-21
2008-10-31,150,-18,118,-112,134,-65
2008-10-24,168,-32,230,-70,199,-51
2008-10-17,200,0,300,0,250,0
2008-10-10,200,0,300,0,250,0
2008-10-03,200,0,300,0,250,0
2008-09-26,200,0,300,-15,250,-8
2008-09-19,200,0,315,-5,258,-2
2008-09-12,200,0,320,-20,260,-10
2008-09-05,200,-10,340,-70,270,-40
2008-08-29,210,-40,410,-75,310,-58
2008-08-22,250,-183,485,-55,368,-119
2008-08-15,433,-27,540,0,487,-13
2008-08-08,460,-15,540,-10,500,-13
2008-08-01,475,-10,550,-18,513,-14
2008-07-25,485,-20,568,-2,527,-11
2008-07-18,505,-30,570,-10,538,-20
2008-07-11,535,0,580,0,558,0
2008-07-04,535,-5,580,0,558,-2
2008-06-27,540,-23,580,-15,560,-19
2008-06-20,563,-67,595,-15,579,-41
2008-06-13,630,0,610,-8,620,-4
2008-06-06,630,0,618,-7,624,-4
2008-05-30,630,0,625,26,628,13
2008-05-23,630,40,599,19,615,30
2008-05-16,590,40,580,30,585,35
2008-05-09,550,10,550,20,550,15
2008-05-02,540,32,530,30,535,31
2008-04-25,508,38,500,13,504,25
2008-04-18,470,30,487,37,479,34
2008-04-11,440,10,450,30,445,20
2008-04-04,430,12,420,29,425,20
2008-03-28,418,38,391,1,405,20
2008-03-21,380,5,390,5,385,5
2008-03-14,375,15,385,5,380,10
2008-03-07,360,10,380,23,370,16
2008-02-22,350,20,357,21,354,21
2008-02-15,330,17,336,15,333,16
2008-02-08,313,23,321,15,317,19
2008-02-01,290,-1,306,-4,298,-3
2008-01-25,291,1,310,6,301,4
2008-01-18,290,10,304,4,297,7
2008-01-11,280,20,300,20,290,20
2008-01-04,260,0,280,0,270,0
2007-12-28,260,0,280,5,270,2
2007-12-21,260,9,275,15,268,12
2007-12-14,251,11,260,5,256,8
2007-12-07,240,4,255,11,248,8
2007-11-30,236,-4,244,-6,240,-5
2007-11-23,240,0,250,0,245,0
2007-11-16,240,5,250,0,245,2
2007-11-09,235,-5,250,0,243,-2
2007-11-02,240,0,250,0,245,0
2007-10-26,240,-12,250,-8,245,-10
2007-10-19,252,-8,258,-4,255,-6
2007-10-12,260,0,262,-2,261,-1
2007-10-05,260,0,264,-1,262,-1
2007-09-28,260,0,265,-10,263,-5
2007-09-21,260,-15,275,7,268,-4
2007-09-14,275,5,268,0,272,3
2007-09-07,270,19,268,13,269,16
2007-08-31,251,3,255,2,253,3
2007-08-24,248,6,253,8,250,7
2007-08-17,242,4,245,10,243,6
2007-08-10,238,4,235,1,237,3
2007-08-03,234,6,234,5,234,6
2007-07-27,228,-8,229,7,228,-1
2007-07-20,236,-4,222,-14,229,-9
2007-07-13,240,2,236,-2,238,0
2007-07-06,238,5,238,-5,238,0
2007-06-29,233,-17,243,6,238,-6
2007-06-22,250,0,237,1,244,1
2007-06-15,250,16,236,2,243,9
2007-06-08,234,9,234,7,234,8
2007-06-01,225,1,227,5,226,3
2007-05-25,224,1,222,13,223,7
2007-05-18,223,3,209,-3,216,0
2007-05-11,220,20,212,-8,216,6
2007-05-04,200,-20,220,-5,210,-13
2007-04-27,220,-13,225,-1,223,-7
2007-04-20,233,-1,226,-12,230,-6
2007-04-13,234,-4,238,-12,236,-8
2007-04-06,238,5,250,3,244,4
2007-03-30,233,3,247,6,240,4
2007-03-23,230,0,241,4,236,2
2007-03-16,230,8,237,12,234,10
2007-03-09,222,2,225,5,224,4
2007-03-02,220,8,220,0,220,4
2007-02-23,212,2,220,2,216,2
2007-02-16,210,0,218,4,214,2
2007-02-09,210,1,214,1,212,1
2007-02-02,209,10,213,3,211,7
2007-01-26,199,1,210,10,204,5
2007-01-19,198,2,200,0,199,1
2007-01-12,196,10,200,2,198,6
2007-01-05,186,3,198,6,192,4
2006-12-29,183,2,192,4,188,4
2006-12-22,181,6,188,3,184,4
2006-12-15,175,5,185,5,180,5
2006-12-08,170,1,180,3,175,2
2006-12-01,169,1,177,2,173,2
2006-11-24,168,0,175,-5,171,-3
2006-11-17,168,-2,180,-5,174,-4
2006-11-10,170,-7,185,0,178,-3
